Ariel
Shadows in Paradise
Four Rooms
Judgment Night
Life in Loops (A Megacities RMX)
Star Wars
Finding Nemo
Forrest Gump
American Beauty
Citizen Kane
Dancer in the Dark
The Dark
The Fifth Element
Metropolis
My Life Without Me
The Endless Summer
Pirates of the Caribbean: The Curse of the Black Pearl
Kill Bill: Vol. 1
Jarhead
Walk on Water
9 Songs
Apocalypse Now
Unforgiven
The Simpsons Movie
Eternal Sunshine of the Spotless Mind
Amores Perros
Pirates of the Caribbean: Dead Man's Chest
A History of Violence
2001: A Space Odyssey
Twelve Monkeys
Talk to Her
8 Mile
Absolute Power
Paradise Now
Brazil
Walk the Line
Million Dollar Baby
Billy Elliot
American History X
War of the Worlds
Mars Attacks!
Before Sunrise
Memento
Blade Runner
Hero
Before Sunset
Nausicaä of the Valley of the Wind
Miami Vice
Open Water
Raiders of the Lost Ark
The Elementary Particles
Indiana Jones and the Temple of Doom
Dirty Dancing
Indiana Jones and the Last Crusade
Beverly Hills Cop
Land Without Bread
Megacities
Anatomy of a Murder
Kunstgriff
Armageddon
Beverly Hills Cop II
Tron
Gladiator
All About My Mother
Lock, Stock and Two Smoking Barrels
Léon: The Professional
Open Hearts
Taxi Driver
Run Lola Run
Back to the Future
Predator
Snatch
Three Colors: Blue
Three Colors: White
Three Colors: Red
Scarface
Italian for Beginners
Spring, Summer, Fall, Winter... and Spring
Pretty Woman
The Big Lebowski
Match Point
The Untouchables
Charlie and the Chocolate Factory
The Lord of the Rings: The Fellowship of the Ring
The Lord of the Rings: The Two Towers
The Lord of the Rings: The Return of the King
The Lord of the Rings
No End
Railway Station
Short Working Day
Blind Chance
Princess Mononoke
Spirited Away
Gimme Shelter
Primary
O Brother, Where Art Thou?
Dont Look Back
Freaks
Groundhog Day
Dracula
Mifune
Bad Education
Donnie Darko
Brokeback Mountain
All Quiet on the Western Front
Wings of Desire
Breaking the Waves
Crouching Tiger, Hidden Dragon
The 400 Blows
The Secret Life of Words
Akira
48 Hrs.
Star Trek: The Motion Picture
Lost in Translation
Star Trek II: The Wrath of Khan
The Dark Knight
Wilbur Wants to Kill Himself
Star Trek III: The Search for Spock
Knockin' on Heaven's Door
Maybe... Maybe Not
The Arrival of a Train at La Ciotat
Ocean's Eleven
Edward Scissorhands
Ocean's Twelve
